Date,Number1,Number2,Number3,Number4,Number5,Number6,Bonus
2025/03/24,30,29,31,32,5,39,28
2025/03/25,29,4,47,11,33,23,10
2025/03/26,47,22,40,13,24,32,20
2025/03/27,14,26,3,49,35,15,13
2025/03/28,17,39,23,28,48,44,38
2025/03/29,49,26,15,43,28,32,19
2025/03/30,38,44,1,37,9,43,29
2025/03/31,44,31,28,18,42,27,34
2025/04/01,42,28,46,33,47,9,18
2025/04/02,5,9,33,25,46,34,24
2025/04/03,38,33,46,15,25,12,43
2025/04/04,22,48,35,14,15,47,27
2025/04/05,29,26,33,10,45,9,23
2025/04/06,17,19,44,16,49,25,14
2025/04/07,3,18,28,45,1,49,43
2025/04/08,46,48,38,1,29,4,30
2025/04/09,37,9,25,44,38,17,30
2025/04/10,24,1,15,20,28,14,49
2025/04/11,29,40,6,46,36,45,9
2025/04/12,44,41,43,24,10,47,13
2025/04/13,5,49,2,15,36,21,28
2025/04/14,23,43,31,2,10,44,41
2025/04/15,26,31,5,36,39,44,3
2025/04/16,18,17,32,29,3,30,4
2025/04/17,17,45,22,47,8,48,6
2025/04/18,24,10,43,21,32,31,7
2025/04/19,44,37,20,12,2,47,5
2025/04/20,38,28,12,4,44,9,31
2025/04/21,48,33,31,42,7,11,28
2025/04/22,31,21,2,14,1,32,9
2025/04/23,12,6,17,41,25,29,31
2025/04/24,17,49,35,14,38,33,19
2025/04/25,5,43,31,9,20,25,23
2025/04/26,39,27,40,5,11,12,6
2025/04/27,18,14,44,28,5,46,33
2025/04/28,49,39,44,7,18,30,40
2025/04/29,23,25,11,34,17,15,29
2025/04/30,25,32,33,41,22,15,24
2025/05/01,28,21,4,43,8,6,10
2025/05/02,41,17,43,33,34,37,6
2025/05/03,16,26,7,9,28,22,46
2025/05/04,39,42,2,27,12,20,40
2025/05/05,41,22,5,10,1,44,20
2025/05/06,15,38,47,9,36,13,28
2025/05/07,43,3,47,26,25,17,45
2025/05/08,8,44,15,39,35,22,27
2025/05/09,39,24,5,33,31,15,46
2025/05/10,22,7,29,13,14,45,20
2025/05/11,25,17,31,40,3,37,26
2025/05/12,39,13,7,21,25,48,37
2025/05/13,17,46,22,21,1,11,2
2025/05/14,42,46,3,27,17,32,9
2025/05/15,45,16,19,6,46,30,29
2025/05/16,12,4,1,42,18,33,2
2025/05/17,17,7,29,38,6,47,16
2025/05/18,5,43,33,16,34,47,1
2025/05/19,36,6,14,25,22,19,30
2025/05/20,3,22,13,23,35,2,25
2025/05/21,11,1,5,37,13,46,22
2025/05/22,16,30,9,49,24,33,18
2025/05/23,37,49,7,23,18,46,12
2025/05/24,8,4,23,17,11,3,7
2025/05/25,17,23,49,44,48,42,10
2025/05/26,10,47,4,43,32,33,9
2025/05/27,20,17,8,18,1,26,15
2025/05/28,41,25,45,35,6,21,48
2025/05/29,33,3,27,21,25,19,15
2025/05/30,43,11,13,41,2,45,21
2025/05/31,41,38,26,20,49,8,18
2025/06/01,13,42,43,48,17,30,5
2025/06/02,32,25,10,27,41,7,28
2025/06/03,20,33,23,40,30,43,10
2025/06/04,27,6,14,11,8,12,18
2025/06/05,49,17,9,11,1,30,3
2025/06/06,36,4,21,9,46,44,37
2025/06/07,37,6,16,31,28,9,30
2025/06/08,48,42,40,5,38,8,1
2025/06/09,37,27,30,7,18,20,5
2025/06/10,49,37,42,25,22,27,14
2025/06/11,16,4,25,22,6,2,14
2025/06/12,33,3,23,2,19,5,11
2025/06/13,5,46,19,18,1,8,44
2025/06/14,21,39,22,34,33,1,23
2025/06/15,43,41,29,37,44,39,49
2025/06/16,46,16,28,49,10,24,12
2025/06/17,7,1,19,20,25,30,11
2025/06/18,1,13,16,39,2,31,45
2025/06/19,24,31,13,32,43,49,16
2025/06/20,35,18,42,4,10,31,8
2025/06/21,22,9,25,11,10,32,42
2025/06/22,24,3,10,7,36,18,38
2025/06/23,27,10,22,48,21,7,37
2025/06/24,39,25,48,43,8,16,19
2025/06/25,45,36,46,37,12,25,39
2025/06/26,24,29,23,42,27,8,20
2025/06/27,14,9,34,7,26,10,40
2025/06/28,4,26,5,39,42,7,31
2025/06/29,19,35,42,15,33,48,5
2025/06/30,37,1,43,28,48,22,32
2025/07/01,6,30,40,46,4,3,43
2025/07/02,49,16,11,23,30,4,20
2025/07/03,43,17,23,39,26,35,33
2025/07/04,1,49,11,23,7,5,40
2025/07/05,24,39,17,46,42,35,44
2025/07/06,2,30,16,6,12,41,22
2025/07/07,33,10,45,23,8,46,36
2025/07/08,10,38,11,31,19,36,13
2025/07/09,45,8,14,48,36,37,18
2025/07/10,36,22,10,24,35,19,28
2025/07/11,46,32,31,43,47,12,37
2025/07/12,25,37,19,6,21,42,7
2025/07/13,33,18,12,40,3,1,23
2025/07/14,4,34,43,6,5,40,18
2025/07/15,3,31,7,39,45,10,15
2025/07/16,49,21,7,30,43,14,34
2025/07/17,4,42,46,25,17,16,9
2025/07/18,34,38,42,7,36,22,47
2025/07/19,14,28,13,41,10,34,5
2025/07/20,44,2,41,46,16,42,49
2025/07/21,8,11,26,7,44,23,25
2025/07/22,13,3,24,47,17,8,9
2025/07/23,12,19,49,39,42,14,35
2025/07/24,46,7,30,16,28,6,33
2025/07/25,18,30,46,44,8,25,34
2025/07/26,49,39,20,32,10,23,5
2025/07/27,49,5,22,7,31,38,32
2025/07/28,28,38,39,45,25,14,17
2025/07/29,22,9,16,5,17,44,7
2025/07/30,20,26,49,21,36,44,1
2025/07/31,20,13,47,12,3,36,32
2025/08/01,23,5,44,34,16,2,18
2025/08/02,14,27,35,23,41,22,42
2025/08/03,32,49,43,20,34,13,36
2025/08/04,13,9,39,45,33,16,49
2025/08/05,4,19,22,21,44,33,38
2025/08/06,17,15,7,20,48,5,45
2025/08/07,32,45,41,25,33,12,17
2025/08/08,20,3,5,28,14,47,19
2025/08/09,17,22,14,42,43,19,8
2025/08/10,44,19,6,35,39,29,1
2025/08/11,32,38,13,40,25,48,21
2025/08/12,17,37,16,35,24,2,10
2025/08/13,2,17,16,19,10,3,47
2025/08/14,11,12,29,31,27,18,16
2025/08/15,12,27,9,13,4,39,11
2025/08/16,11,13,7,23,4,15,34
2025/08/17,9,48,19,14,29,35,33
2025/08/18,47,20,36,40,15,14,37
2025/08/19,37,45,31,1,11,19,43
2025/08/20,13,27,24,18,17,30,12
2025/08/21,37,26,23,19,28,31,43
2025/08/22,18,23,16,24,8,27,44
2025/08/23,43,13,17,40,11,42,31
2025/08/24,9,35,49,42,28,41,37
2025/08/25,33,17,22,40,2,36,46
2025/08/26,34,7,29,4,18,41,21
2025/08/27,13,38,34,40,41,32,24
2025/08/28,35,18,14,1,37,15,7
2025/08/29,36,33,17,45,15,21,29
2025/08/30,34,14,1,23,9,29,32
2025/08/31,44,43,22,8,11,34,15
2025/09/01,29,21,11,20,30,34,7
2025/09/02,16,19,24,1,12,44,37
2025/09/03,10,5,20,14,4,25,39
2025/09/04,11,33,10,24,14,15,5
2025/09/05,23,11,15,26,49,30,9
2025/09/06,2,27,10,40,4,32,30
2025/09/07,28,12,48,13,45,44,43
2025/09/08,23,44,11,2,14,4,18
2025/09/09,34,19,15,49,30,37,21
2025/09/10,1,13,8,47,22,21,15
2025/09/11,40,24,37,27,2,45,12
2025/09/12,39,31,16,43,6,30,12
2025/09/13,22,19,39,28,2,37,48
2025/09/14,2,48,38,36,21,18,43
2025/09/15,16,39,46,48,10,20,43
2025/09/16,44,16,27,36,40,23,8
2025/09/17,45,13,4,23,19,38,25
2025/09/18,44,27,25,24,29,33,49
2025/09/19,38,2,20,1,4,6,26
2025/09/20,5,40,3,28,39,6,4
2025/09/21,30,27,31,12,45,29,32
2025/09/22,14,48,39,44,36,15,20
2025/09/23,12,37,5,1,2,33,40
2025/09/24,2,35,11,7,19,49,13
2025/09/25,15,24,1,18,34,14,36
2025/09/26,26,29,40,16,25,32,12
2025/09/27,2,23,15,10,37,34,41
2025/09/28,34,15,1,35,17,14,49
2025/09/29,44,23,12,30,46,19,39
2025/09/30,48,17,22,4,42,6,8
2025/10/01,37,28,32,7,6,24,4
2025/10/02,1,36,8,43,12,4,49
2025/10/03,48,43,45,36,34,32,1
2025/10/04,14,10,20,34,3,44,26
2025/10/05,38,48,14,17,20,16,22
2025/10/06,2,19,10,6,22,4,23
2025/10/07,25,24,29,37,49,14,35
2025/10/08,35,8,28,27,32,7,22
2025/10/09,49,39,8,37,33,38,2
2025/10/10,10,18,35,6,47,33,24
2025/10/11,4,44,26,41,45,18,37
2025/10/12,33,48,25,43,47,18,2
2025/10/13,43,9,21,33,32,28,22
2025/10/14,18,3,34,43,39,46,30
2025/10/15,42,16,10,6,32,44,45
2025/10/16,3,10,34,31,47,11,8
2025/10/17,39,48,21,42,23,2,22
2025/10/18,40,32,21,28,31,34,14
2025/10/19,36,35,45,38,6,7,31
2025/10/20,28,49,38,5,36,3,44
2025/10/21,9,36,12,13,46,18,47
2025/10/22,39,2,6,40,48,34,45
2025/10/23,15,48,31,47,34,1,4
2025/10/24,31,34,4,11,6,25,16
2025/10/25,23,11,17,18,27,6,31
2025/10/26,30,47,12,22,43,17,18
2025/10/27,6,1,32,20,22,36,4
2025/10/28,31,5,42,15,44,30,45
